filename,ATTRIBUTE_sampleName,ATTRIBUTE_sampleType,ATTRIBUTE_injectionOrder,ATTRIBUTE_Matrix,ATTRIBUTE_Patient,ATTRIBUTE_ExcretionTime
15_a_POS,15_a_POS,Sample,30,Feces,1,unknown
1_a_POS,1_a_POS,Sample,34,Intestin,1,53
16_a_POS,16_a_POS,Sample,41,Feces,2,unknown
2_a_POS,2_a_POS,Sample,44,Intestin,2,23
17_a_POS,17_a_POS,Sample,51,Feces,3,unknown
3_e_POS,3_e_POS,Sample,139,Intestin,3,24
18_a_POS,18_a_POS,Sample,37,Feces,4,unknown
4_a_POS,4_a_POS,Sample,55,Intestin,4,48
19_a_POS,19_a_POS,Sample,39,Feces,5,unknown
5_c_POS,5_c_POS,Sample,112,Intestin,5,36
20_a_POS,20_a_POS,Sample,33,Feces,6,unknown
6_a_POS,6_a_POS,Sample,38,Intestin,6,33
21_a_POS,21_a_POS,Sample,35,Feces,7,unknown
7_e_POS,7_e_POS,Sample,140,Intestin,7,48
22_a_POS,22_a_POS,Sample,40,Feces,8,unknown
8_b_POS,8_b_POS,Sample,86,Intestin,8,34
23_a_POS,23_a_POS,Sample,52,Feces,9,unknown
9_a_POS,9_a_POS,Sample,27,Intestin,9,47
24_a_POS,24_a_POS,Sample,49,Feces,10,unknown
10_a_POS,10_a_POS,Sample,29,Intestin,10,27
25_a_POS,25_a_POS,Sample,54,Feces,11,unknown
11_a_POS,11_a_POS,Sample,26,Intestin,11,24
26_a_POS,26_a_POS,Sample,53,Feces,12,unknown
12_e_POS,12_e_POS,Sample,141,Intestin,12,33
27_a_POS,27_a_POS,Sample,31,Feces,15,unknown
13_e_POS,13_e_POS,Sample,142,Intestin,15,23
28_a_POS,28_a_POS,Sample,42,Feces,16,unknown
14_a_POS,14_a_POS,Sample,32,Intestin,16,24
Blank03,Blank03,blank,1,NA,NA,NA
QC_01,QC_01,pool,12,NA,NA,NA
QC_Dil_16_POS,QC_Dil_16_POS,pool_dil,13,NA,NA,NA
QC_Dil_8_POS,QC_Dil_8_POS,pool_dil,16,NA,NA,NA
QC_Dil_4_POS,QC_Dil_4_POS,pool_dil,19,NA,NA,NA
QC_Dil_2_POS,QC_Dil_2_POS,pool_dil,22,NA,NA,NA
QC_02,QC_02,pool,25,NA,NA,NA
QC_03,QC_03,pool,36,NA,NA,NA
QC_04,QC_04,pool,47,NA,NA,NA
QC_05,QC_05,pool,58,NA,NA,NA
QC_06,QC_06,pool,69,NA,NA,NA
QC_07,QC_07,pool,80,NA,NA,NA
QC_08,QC_08,pool,91,NA,NA,NA
QC_09,QC_09,pool,102,NA,NA,NA
QC_10,QC_10,pool,113,NA,NA,NA
QC_11,QC_11,pool,118,NA,NA,NA
Gamme_1uM_01,Gamme_1uM_01,Sample,119,NA,NA,NA
Gamme_1uM_02,Gamme_1uM_02,Sample,120,NA,NA,NA
Gamme_1uM_03,Gamme_1uM_03,Sample,121,NA,NA,NA
Gamme_5uM_01,Gamme_5uM_01,Sample,122,NA,NA,NA
Gamme_5uM_02,Gamme_5uM_02,Sample,123,NA,NA,NA
Gamme_5uM_03,Gamme_5uM_03,Sample,124,NA,NA,NA
Gamme_10uM_01,Gamme_10uM_01,Sample,125,NA,NA,NA
Gamme_10uM_02,Gamme_10uM_02,Sample,126,NA,NA,NA
Gamme_10uM_03,Gamme_10uM_03,Sample,127,NA,NA,NA
Gamme_25uM_01,Gamme_25uM_01,Sample,128,NA,NA,NA
Gamme_25uM_02,Gamme_25uM_02,Sample,129,NA,NA,NA
Gamme_25uM_03,Gamme_25uM_03,Sample,130,NA,NA,NA
Gamme_50uM_01,Gamme_50uM_01,Sample,131,NA,NA,NA
Gamme_50uM_02,Gamme_50uM_02,Sample,132,NA,NA,NA
Gamme_50uM_03,Gamme_50uM_03,Sample,133,NA,NA,NA
Gamme_100uM_01,Gamme_100uM_01,Sample,134,NA,NA,NA
Gamme_100uM_02,Gamme_100uM_02,Sample,135,NA,NA,NA
Gamme_100uM_03,Gamme_100uM_03,Sample,136,NA,NA,NA
QC_12,QC_12,pool,137,NA,NA,NA
QC_B01_POS,QC_B01_POS,pool,138,NA,NA,NA
QC_B02_POS,QC_B02_POS,pool,143,NA,NA,NA
