"","FC","log2(FC)","p.ajusted","-log10(p)"
"99032",0.0029913,-8.385,1.5445e-08,7.8112
"80226",0.010409,-6.5861,1.8251e-08,7.7387
"88428",0.0039426,-7.9867,1.189e-07,6.9248
"74029",0.0059876,-7.3838,1.189e-07,6.9248
"112850",154.54,7.2718,2.5828e-07,6.5879
"90413",0.0258,-5.2765,6.3472e-07,6.1974
"122895",2515.5,11.297,6.6596e-07,6.1766
"106549",1371.3,10.421,6.6596e-07,6.1766
"125421",1369.2,10.419,6.6596e-07,6.1766
"106150",1253.3,10.292,6.6596e-07,6.1766
"84989",0.00095065,-10.039,6.6596e-07,6.1766
"84934",0.00099654,-9.9708,6.6596e-07,6.1766
"127588",835.33,9.7062,6.6596e-07,6.1766
"107282",798.85,9.6418,6.6596e-07,6.1766
"122848",739.34,9.5301,6.6596e-07,6.1766
"81058",0.0027365,-8.5134,6.6596e-07,6.1766
"122938",237.67,7.8928,6.6596e-07,6.1766
"106453",230.23,7.847,6.6596e-07,6.1766
"115472",166.26,7.3773,6.6596e-07,6.1766
"100639",109.01,6.7684,6.6596e-07,6.1766
"78103",0.025389,-5.2997,6.6596e-07,6.1766
"120272",576.07,9.1701,6.6866e-07,6.1748
"108560",233.79,7.8691,6.6866e-07,6.1748
"71743",0.0060434,-7.3704,7.0315e-07,6.153
"123154",224.18,7.8085,7.1209e-07,6.1475
"95564",0.0046642,-7.7441,7.1209e-07,6.1475
"108724",135.78,7.0851,7.1209e-07,6.1475
"127413",255.82,7.999,7.5169e-07,6.124
"108889",183.41,7.5189,7.5169e-07,6.124
"81093",0.0080306,-6.9603,7.5169e-07,6.124
"122131",209.12,7.7082,7.6078e-07,6.1187
"104079",455.83,8.8324,8.4468e-07,6.0733
"85005",0.0025083,-8.6391,8.4468e-07,6.0733
"105123",110.6,6.7893,8.4468e-07,6.0733
"100651",92.585,6.5327,9.772e-07,6.01
"120224",4342.1,12.084,9.899e-07,6.0044
"124733",2471.8,11.271,1.1074e-06,5.9557
"117199",472.97,8.8856,1.1301e-06,5.9469
"116664",573.85,9.1645,1.2737e-06,5.8949
"101130",174.78,7.4494,1.3097e-06,5.8828
"80085",0.020232,-5.6272,1.3237e-06,5.8782
"115612",869.38,9.7638,1.4275e-06,5.8454
"108490",597.04,9.2217,1.4275e-06,5.8454
"110696",276.78,8.1126,1.5118e-06,5.8205
"123185",503.34,8.9754,1.5852e-06,5.7999
"118911",270.93,8.0818,1.8647e-06,5.7294
"116517",1237.7,10.273,2.0149e-06,5.6957
"110171",146.61,7.1959,2.2339e-06,5.6509
"107103",199.22,7.6382,2.4512e-06,5.6106
"131411",127.17,6.9906,2.6984e-06,5.5689
"92929",20.304,4.3437,2.6984e-06,5.5689
"104134",252.78,7.9818,3.1537e-06,5.5012
"124870",211.61,7.7253,3.2208e-06,5.492
"119021",240.51,7.91,3.7678e-06,5.4239
"117771",160.71,7.3284,3.7678e-06,5.4239
"114684",474.16,8.8892,3.8455e-06,5.4151
"108848",51.126,5.676,4.3552e-06,5.361
"111316",154.5,7.2714,4.4267e-06,5.3539
"100615",85.889,6.4244,6.6716e-06,5.1758
"102152",170.24,7.4114,7.4358e-06,5.1287
"122846",594.42,9.2153,8.9375e-06,5.0488
"121692",393.11,8.6188,8.9375e-06,5.0488
"110285",186.27,7.5412,8.9375e-06,5.0488
"112455",93.654,6.5493,8.9375e-06,5.0488
"85528",153.39,7.2611,9.7702e-06,5.0101
"79565",0.0084408,-6.8884,9.9331e-06,5.0029
"115418",117.11,6.8717,9.9331e-06,5.0029
"80009",42.62,5.4135,9.9648e-06,5.0015
"125136",711.05,9.4738,1.0128e-05,4.9945
"120343",412.97,8.6899,1.0723e-05,4.9697
"92432",85.113,6.4113,1.0723e-05,4.9697
"82261",0.0062546,-7.3209,1.0799e-05,4.9666
"126526",316.13,8.3044,1.1079e-05,4.9555
"107547",79.444,6.3119,1.21e-05,4.9172
"85040",0.0016495,-9.2438,1.2821e-05,4.8921
"112124",88.352,6.4652,1.3356e-05,4.8743
"82318",0.020869,-5.5825,1.3488e-05,4.87
"119558",277.73,8.1175,1.4911e-05,4.8265
"132188",214.85,7.7472,1.4911e-05,4.8265
"88842",0.011706,-6.4166,1.6713e-05,4.7769
"126792",503.2,8.975,1.6733e-05,4.7764
"115873",561.59,9.1334,1.7681e-05,4.7525
"87934",58.99,5.8824,1.8232e-05,4.7392
"100775",33.157,5.0512,1.9334e-05,4.7137
"116047",238.76,7.8994,2.0647e-05,4.6851
"84702",0.007859,-6.9914,2.0647e-05,4.6851
"113731",195.13,7.6083,2.1295e-05,4.6717
"82725",0.011125,-6.4901,2.2494e-05,4.6479
"124003",3119,11.607,2.3125e-05,4.6359
"116798",124.31,6.9578,2.557e-05,4.5923
"95088",114.9,6.8442,2.6852e-05,4.571
"122869",383.94,8.5847,2.7377e-05,4.5626
"110428",19.92,4.3162,2.9304e-05,4.5331
"114983",245.5,7.9396,3.0946e-05,4.5094
"111598",18.079,4.1762,3.2039e-05,4.4943
"95573",0.088183,-3.5033,3.5802e-05,4.4461
"90562",0.0039681,-7.9773,4.2733e-05,4.3692
"110148",109.96,6.7809,4.2733e-05,4.3692
"98279",60.199,5.9117,4.3014e-05,4.3664
"96786",90.032,6.4924,4.5001e-05,4.3468
"83861",4.5862e-05,-14.412,5.0622e-05,4.2957
"78046",0.0025138,-8.6359,5.0622e-05,4.2957
"88912",0.0038701,-8.0134,5.0622e-05,4.2957
"93747",0.26999,-1.889,5.0622e-05,4.2957
"84984",9.0367e-05,-13.434,5.4875e-05,4.2606
"114422",108.77,6.7651,5.6064e-05,4.2513
"122064",87.681,6.4542,5.7498e-05,4.2403
"111203",42.362,5.4047,5.7498e-05,4.2403
"103341",28.805,4.8482,5.7498e-05,4.2403
"85306",0.0026655,-8.5514,6.0463e-05,4.2185
"103481",36.688,5.1972,7.9205e-05,4.1012
"111670",82.968,6.3745,8.044e-05,4.0945
"92547",53.693,5.7467,8.4579e-05,4.0727
"117081",140.84,7.1379,0.00010019,3.9992
"106304",33.1,5.0487,0.00010813,3.966
"125036",412.37,8.6878,0.00010847,3.9647
"84967",0.0013725,-9.509,0.00012234,3.9124
"118322",248.63,7.9579,0.00012234,3.9124
